,precision,recall,f1-score,support
Afghan,1.0,1.0,1.0,10.0
African Wild Dog,1.0,1.0,1.0,10.0
Airedale,1.0,1.0,1.0,10.0
American Hairless,0.8181818181818182,0.9,0.8571428571428571,10.0
American Spaniel,0.875,0.7,0.7777777777777778,10.0
Basenji,0.9090909090909091,1.0,0.9523809523809523,10.0
Basset,0.9090909090909091,1.0,0.9523809523809523,10.0
Beagle,1.0,0.9,0.9473684210526315,10.0
Bearded Collie,1.0,1.0,1.0,10.0
Bermaise,1.0,1.0,1.0,10.0
Bichon Frise,1.0,1.0,1.0,10.0
Blenheim,0.9,0.9,0.9,10.0
Bloodhound,1.0,0.9,0.9473684210526315,10.0
Bluetick,0.9090909090909091,1.0,0.9523809523809523,10.0
Border Collie,1.0,1.0,1.0,10.0
Borzoi,0.9090909090909091,1.0,0.9523809523809523,10.0
Boston Terrier,0.9,0.9,0.9,10.0
Boxer,1.0,1.0,1.0,10.0
Bull Mastiff,1.0,1.0,1.0,10.0
Bull Terrier,1.0,0.8,0.8888888888888888,10.0
Bulldog,0.8888888888888888,0.8,0.8421052631578947,10.0
Cairn,0.9090909090909091,1.0,0.9523809523809523,10.0
Chihuahua,1.0,1.0,1.0,10.0
Chinese Crested,1.0,1.0,1.0,10.0
Chow,0.9090909090909091,1.0,0.9523809523809523,10.0
Clumber,1.0,0.9,0.9473684210526315,10.0
Cockapoo,0.75,0.9,0.8181818181818182,10.0
Cocker,0.9090909090909091,1.0,0.9523809523809523,10.0
Collie,1.0,0.8,0.8888888888888888,10.0
Corgi,0.8333333333333334,1.0,0.9090909090909091,10.0
Coyote,1.0,1.0,1.0,10.0
Dalmation,0.9090909090909091,1.0,0.9523809523809523,10.0
Dhole,1.0,1.0,1.0,10.0
Dingo,1.0,0.8,0.8888888888888888,10.0
Doberman,1.0,1.0,1.0,10.0
Elk Hound,1.0,0.9,0.9473684210526315,10.0
French Bulldog,0.9,0.9,0.9,10.0
German Sheperd,1.0,1.0,1.0,10.0
Golden Retriever,0.9090909090909091,1.0,0.9523809523809523,10.0
Great Dane,1.0,0.9,0.9473684210526315,10.0
Great Perenees,1.0,0.9,0.9473684210526315,10.0
Greyhound,0.9090909090909091,1.0,0.9523809523809523,10.0
Groenendael,1.0,1.0,1.0,10.0
Irish Spaniel,0.7692307692307693,1.0,0.8695652173913043,10.0
Irish Wolfhound,1.0,0.9,0.9473684210526315,10.0
Japanese Spaniel,1.0,0.9,0.9473684210526315,10.0
Komondor,1.0,1.0,1.0,10.0
Labradoodle,0.875,0.7,0.7777777777777778,10.0
Labrador,1.0,0.9,0.9473684210526315,10.0
Lhasa,0.7692307692307693,1.0,0.8695652173913043,10.0
Malinois,0.9090909090909091,1.0,0.9523809523809523,10.0
Maltese,1.0,1.0,1.0,10.0
Mex Hairless,1.0,0.8,0.8888888888888888,10.0
Newfoundland,1.0,0.9,0.9473684210526315,10.0
Pekinese,0.9,0.9,0.9,10.0
Pit Bull,0.9090909090909091,1.0,0.9523809523809523,10.0
Pomeranian,1.0,1.0,1.0,10.0
Poodle,1.0,1.0,1.0,10.0
Pug,1.0,1.0,1.0,10.0
Rhodesian,0.9,0.9,0.9,10.0
Rottweiler,1.0,0.9,0.9473684210526315,10.0
Saint Bernard,1.0,1.0,1.0,10.0
Schnauzer,0.9090909090909091,1.0,0.9523809523809523,10.0
Scotch Terrier,0.9090909090909091,1.0,0.9523809523809523,10.0
Shar_Pei,1.0,1.0,1.0,10.0
Shiba Inu,1.0,1.0,1.0,10.0
Shih-Tzu,1.0,0.9,0.9473684210526315,10.0
Siberian Husky,1.0,1.0,1.0,10.0
Vizsla,0.9090909090909091,1.0,0.9523809523809523,10.0
Yorkie,1.0,0.9,0.9473684210526315,10.0
accuracy,0.9485714285714286,0.9485714285714286,0.9485714285714286,0.9485714285714286
macro avg,0.9530747030747031,0.9485714285714286,0.9482609450409385,700.0
weighted avg,0.9530747030747031,0.9485714285714286,0.9482609450409386,700.0
