,precision,recall,f1-score,support
Afghan,0.6,1.0,0.75,6.0
African Wild Dog,1.0,1.0,1.0,4.0
Airedale,1.0,1.0,1.0,3.0
American Hairless,0.8,0.8,0.8,5.0
American Spaniel,0.75,1.0,0.8571428571428571,3.0
Basenji,0.9090909090909091,1.0,0.9523809523809523,10.0
Basset,1.0,1.0,1.0,7.0
Beagle,0.9,0.9,0.9,10.0
Bearded Collie,1.0,1.0,1.0,8.0
Bermaise,1.0,0.8888888888888888,0.9411764705882353,9.0
Bichon Frise,1.0,1.0,1.0,5.0
Blenheim,1.0,0.8571428571428571,0.9230769230769231,7.0
Bloodhound,1.0,1.0,1.0,7.0
Bluetick,0.9,1.0,0.9473684210526315,9.0
Border Collie,1.0,0.875,0.9333333333333333,8.0
Borzoi,0.7777777777777778,1.0,0.875,7.0
Boston Terrier,0.8571428571428571,1.0,0.9230769230769231,6.0
Boxer,0.9,1.0,0.9473684210526315,9.0
Bull Mastiff,1.0,0.9,0.9473684210526315,10.0
Bull Terrier,1.0,1.0,1.0,3.0
Bulldog,1.0,0.8888888888888888,0.9411764705882353,9.0
Cairn,1.0,0.75,0.8571428571428571,4.0
Chihuahua,1.0,1.0,1.0,7.0
Chinese Crested,1.0,0.8571428571428571,0.9230769230769231,7.0
Chow,1.0,0.7142857142857143,0.8333333333333334,7.0
Clumber,1.0,1.0,1.0,7.0
Cockapoo,0.6,1.0,0.75,3.0
Cocker,1.0,0.8571428571428571,0.9230769230769231,7.0
Collie,1.0,0.8,0.8888888888888888,10.0
Corgi,1.0,1.0,1.0,8.0
Coyote,1.0,1.0,1.0,2.0
Dalmation,0.875,1.0,0.9333333333333333,7.0
Dhole,1.0,1.0,1.0,1.0
Dingo,1.0,0.5,0.6666666666666666,2.0
Doberman,1.0,1.0,1.0,3.0
Elk Hound,1.0,1.0,1.0,7.0
French Bulldog,0.8888888888888888,0.8,0.8421052631578947,10.0
German Sheperd,1.0,1.0,1.0,4.0
Golden Retriever,1.0,1.0,1.0,9.0
Great Dane,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Great Perenees,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Greyhound,1.0,0.7777777777777778,0.875,9.0
Groenendael,1.0,1.0,1.0,2.0
Irish Spaniel,1.0,1.0,1.0,1.0
Irish Wolfhound,1.0,1.0,1.0,6.0
Japanese Spaniel,0.8571428571428571,1.0,0.9230769230769231,6.0
Labradoodle,0.5,0.3333333333333333,0.4,3.0
Labrador,1.0,0.875,0.9333333333333333,8.0
Lhasa,0.8571428571428571,1.0,0.9230769230769231,6.0
Malinois,1.0,0.875,0.9333333333333333,8.0
Maltese,1.0,1.0,1.0,4.0
Mex Hairless,1.0,1.0,1.0,3.0
Newfoundland,1.0,1.0,1.0,1.0
Pekinese,1.0,1.0,1.0,6.0
Pit Bull,0.7142857142857143,1.0,0.8333333333333334,5.0
Pomeranian,0.8,1.0,0.8888888888888888,4.0
Poodle,0.6666666666666666,1.0,0.8,2.0
Pug,0.8571428571428571,1.0,0.9230769230769231,6.0
Rhodesian,0.9,0.9,0.9,10.0
Rottweiler,1.0,0.875,0.9333333333333333,8.0
Saint Bernard,1.0,0.875,0.9333333333333333,8.0
Schnauzer,0.4,0.6666666666666666,0.5,3.0
Scotch Terrier,1.0,0.5,0.6666666666666666,6.0
Shar_Pei,1.0,1.0,1.0,6.0
Shiba Inu,1.0,1.0,1.0,9.0
Shih-Tzu,1.0,1.0,1.0,6.0
Siberian Husky,0.875,0.875,0.875,8.0
Vizsla,0.8888888888888888,1.0,0.9411764705882353,8.0
Yorkie,1.0,1.0,1.0,10.0
accuracy,0.9216152019002375,0.9216152019002375,0.9216152019002375,0.9216152019002375
macro avg,0.9213647865821778,0.9194386933517369,0.9121554035371509,421.0
weighted avg,0.9355974917138811,0.9216152019002375,0.9220301001497916,421.0
